lot_id,name,type,access,km,km_approx,price_ft,price_unit,price_approx,spaces,facets,features,booking_url,source_url,from_ft_per_day,till_ft_per_day,price_7d_ft,max_bookable_days,checked_on,notes
repteri-parkolas-hu,Repteri Parkolas,offsite,shuttle,3,1,2222,day,1,,24h,free-shuttle|24-7-2,http://repteri-parkolas.hu/,http://repteri-parkolas.hu/,,,9999,,Price list dated 2018 – may be stale.
hungaria-parkolo,Hungária Parkoló,offsite,shuttle,5.2,0,8900,day,0,,24h,free-shuttle|secured,http://hungariaparkolo.hu/,http://hungariaparkolo.hu/,,,15300,,
nemzeti-parkolo,Nemzeti Reptéri Parkoló,offsite,shuttle,6.3,0,8900,day,0,,"24h,covered",free-shuttle|covered|24-7-2,https://nemzetiparkolo.hu/,https://nemzetiparkolo.hu/,,,15300,,Indoor + individual garages available.
orzott-repteri-parkolo,Őrzött Reptéri Parkoló,offsite,shuttle,3,1,7500,day,1,,24h,free-shuttle|guarded|24-7-2,https://orzottrepteriparkolo.hu/,https://orzottrepteriparkolo.hu/,,,,,
europa-parkolo,Európa Parkoló,offsite,shuttle,3.4,0,8000,day,0,,"24h,ev,covered",free-shuttle|ev-charging|covered,http://www.europaparkolo.hu/,http://www.europaparkolo.hu/,,,18000,,EV charging 120 Ft/kWh.
comfort-parkolo,Comfort Parkoló,offsite,shuttle,4.1,0,10000,day,0,,"24h,covered",free-shuttle|covered|24-7-2,https://ferihegyfedettparkolo.hu/,https://ferihegyfedettparkolo.hu/,,,14000,,
repteri-parkolo-com,Reptéri Parkoló.com,offsite,shuttle,3,1,7000,day,1,,24h,free-shuttle|online-booking|secured,https://www.repteriparkolo.com/,https://www.repteriparkolo.com/,,,,,
hispania-parking,Hispania Parking,offsite,shuttle,3.4,0,8000,day,0,,24h,*free-shuttle|guarded|24-7-2,https://parkolow.hu,https://parkolow.hu,,,14000,,Highest review volume at BUD (4145 reviews).
mopark-airport-parking,MoPark Airport Parking,offsite,shuttle,4.2,0,5990,day,0,,"24h,covered",*free-shuttle|covered-garage|24-7-2,https://parkolow.hu,https://parkolow.hu,,,12990,,Outdoor + indoor garage. 1572 reviews 4.9★.
airport-parking-hungary,Airport Parking Hungary,offsite,shuttle,5,0,6900,day,0,,24h,*free-shuttle|guarded|24-7-2,https://parkolow.hu,https://parkolow.hu,,,12000,,Best-rated on ParkoLow. 1032 reviews 4.9★.
park-and-bark,Park & Bark,offsite,shuttle,7.3,0,5800,day,1,,"24h,carwash,dog",*dog-hotel|car-wash|free-shuttle,https://www.parkandbark.hu/,https://www.parkandbark.hu/,,,11800,,Only lot with dog boarding (8500 Ft/dog/day). Outdoor + indoor garage. 5★/1292 reviews.
pocket-parking,Pocket Parking,offsite,shuttle,2.6,0,7990,day,0,,24h,*free-shuttle|guarded|24-7-2,https://parkolow.hu,https://parkolow.hu,,,13990,,Closest off-airport lot (2.6 km). Shuttle in 3-4 min.
abc-gold-parking,ABC Gold Parking,offsite,shuttle,3.6,0,6000,day,0,,"24h,ev",*free-shuttle|ev-charging|24-7-2,https://parkolow.hu,https://parkolow.hu,,,11500,,EV charging ~200 Ft/kWh. Best 4-day rate on market. 4.8★/645 reviews.
ferihegy-top-parkolo,Ferihegy Top Parkoló,offsite,shuttle,5.4,0,6500,day,0,,24h,*free-shuttle|monitored|24-7-2,https://parkolow.hu,https://parkolow.hu,,,12000,,Modern minibuses. HU only site.
star-park,Star Park,offsite,shuttle,3,0,5900,day,0,,24h,*free-shuttle|monitored|24-7-2,https://starpark.hu,https://starpark.hu,,,11900,,Opened 2025. Automatic barrier entry.
hotel-ferihegy-parkolo,Hotel Ferihegy Parkoló,offsite,shuttle,3.8,0,4990,day,0,,"24h,covered",*free-shuttle|covered|24-7-2,https://parkolow.hu,https://parkolow.hu,,,11990,,Cheapest single day (4990 Ft). Hotel-operated covered lot.
iq-parking,IQ Parking,offsite,shuttle,4,0,8400,day,0,,24h,*free-shuttle|guarded|24-7-2,https://parkolow.hu,https://parkolow.hu,,,13900,,5★/296 reviews. Flat rate for 1-2 days.
zenparking,ZEN Parking,offsite,shuttle,3.3,0,8213,day,0,,24h,*free-shuttle|guarded|24-7-2,https://parkolow.hu,https://parkolow.hu,,,14865,,5★/763 reviews.
